epoch,accuracy,loss,val_accuracy,val_loss
0,0.5934079885482788,1.4727051258087158,0.7356103658676147,0.8887207508087158
1,0.7771340012550354,0.7260595560073853,0.766603410243988,0.6981310248374939
2,0.7927127480506897,0.6251523494720459,0.7713472247123718,0.6474465727806091
3,0.7981202602386475,0.5820693373680115,0.7757748365402222,0.8018336296081543
4,0.8003090023994446,0.5653181076049805,0.7786211371421814,0.6170600056648254
5,0.8015965223312378,0.5562901496887207,0.7760910987854004,0.6169161200523376
6,0.8035277724266052,0.5391889214515686,0.7783048748970032,0.6163516640663147
7,0.8049439787864685,0.5336964130401611,0.7802023887634277,0.5968427658081055
8,0.8048152327537537,0.5292710661888123,0.7839974761009216,0.6194306015968323
9,0.8050727248191833,0.5249704718589783,0.7770398259162903,0.6309801936149597
